"Topic","Words","Date","Market"
14,"world war country british art united state life history star family kingdom international england american born britain largest royal army",2018-11-16,"en-GB"
15,"weather forecast temperature day rain wind accuweathercom hourly report warning united cloud kingdom shower sunny breeze precipitation pressure speed outlook",2018-11-16,"en-GB"
16,"facebook people connect know power join named share view friend profile family tweet log instagram make post video follower page",2018-11-16,"en-GB"
17,"email address mail outlook send message office yahoo gmail microsoft contact inbox sent using hotmail outlookcom server receive automatically royal",2018-11-16,"en-GB"
18,"ticket train bus station travel trainline rail live cheap event tour journey europe retailer theatre buy route independent timetable leading",2018-11-16,"en-GB"
19,"music song lyric album youtube video love artist listen amazon official track band stream original rock play hit single piano",2018-11-16,"en-GB"
2,"delivery online store buy product range order price shop door shopping home today selection available great low quality furniture collect",2018-11-16,"en-GB"
20,"rate currency exchange pound gbp dollar euro british usd sterling eur converter foreign convert chart money live conversion travel history",2018-11-16,"en-GB"
21,"flight airport airline cheap airway departure compare status travel arrival heathrow air manchester price tracker destination international track route terminal",2018-11-16,"en-GB"
22,"child need young kid parent family fundraising pudsey charity adult support bbc baby help childrens people age safeguarding bear activity",2018-11-16,"en-GB"
23,"code discount voucher promo november coupon area tested country valid verified money offer latest saving spend roblox international dialling deal",2018-11-16,"en-GB"
24,"best price list place hair compare guide deal review way looking offer money right quote thing good want just make",2018-11-16,"en-GB"
25,"hotel stay tripadvisor room great deal candid inn spa traveller review book availability luxury city accommodation photo break guest star",2018-11-16,"en-GB"
26,"black friday deal amazon sale monday november offer cyber discount white exclusive ops tablet xbox curry big bargain shopping thanksgiving",2018-11-16,"en-GB"
27,"stone pound convert conversion kilogram calculator unit table weight formula mass metric equal gram converter kilo use mile ounce answer",2018-11-16,"en-GB"
28,"council planning housing city application local county area postcode district information borough england authority town court building north east government",2018-11-16,"en-GB"
29,"movie watch online film episode cinema series season putlocker streaming stream trailer channel netflix subtitle registration dvd queue latest star",2018-11-16,"en-GB"
3,"property sale agent estate flat rent rightmove house bedroom portal search developer letting datadriven leading buy zoopla home primelocation largest",2018-11-16,"en-GB"
30,"image photo stock vector million picture affordable royalty instagram royaltyfree illustration post cartoon search commercial art collection follower attribution shutterstock",2018-11-16,"en-GB"
31,"london street city theatre station east kingdom road england west south united central bridge borough underground greater tower event king",2018-11-16,"en-GB"
32,"woman dress men clothing jacket shop fashion coat style girl shirt range lady size collection discover debenhams clothes asos latest",2018-11-16,"en-GB"
33,"card credit payment debit greeting balance money pay sim birthday graphic reward travel account transfer purchase online memory apply visa",2018-11-16,"en-GB"
34,"file open pdf folder format document program extension click convert text drive select software want application type adobe command create",2018-11-16,"en-GB"
35,"ebay shop deal great confidence selection toy item shipping bag kit set vintage bike feed model shopping battery wheel box",2018-11-16,"en-GB"
36,"care home nursing social residential dementia carehomecouk support people adult inspection patient visit housing leading resident healthcare provider quality living",2018-11-16,"en-GB"
37,"map opening contact direction local search photo yell video hour review road street driving phone time address submit store postcode",2018-11-16,"en-GB"
38,"crossword clue answer puzzle solver synonym anagram solution daily possible definition related question seen spotted solve mirror able quiz cryptic",2018-11-16,"en-GB"
